applicant_id,self_reported_expenses,annual_income,self_reported_debt,requested_amount,age,province,employment_status,months_employed
APP00001,1682.3657910849188,70399.3782811588,476.7541607238783,4791.404551138025,64,ON,Full-time,598
APP00002,1899.3474366102002,58188.68358066781,328.87909322084914,4849.213871485485,79,ON,Full-time,325
APP00003,4607.121713482755,73661.24017976574,834.3253869906991,6973.137610157802,59,ON,Unemployed,0
APP00004,2862.798621119409,95782.41828358866,721.1799629195054,5218.5206922749785,36,ON,Full-time,246
APP00005,2474.6298123314637,56538.63295314807,423.3536104905224,1015.6830111628589,34,ON,Full-time,315
APP00006,6452.376445533317,56538.911425385835,315.62219476614774,9049.492275956862,69,ON,Full-time,162
APP00007,6509.717452185445,97410.50223336833,716.8322584380388,9268.887456263317,55,ON,Full-time,369
APP00008,8245.170697999292,76355.54115490965,872.7545546552491,9216.720651554475,32,ON,Full-time,185
APP00009,4177.085669729759,52684.846431673745,378.9483630242922,4795.227332715132,86,BC,Unemployed,0
APP00010,730.8509102615023,71374.3241595848,863.3935268422332,6745.184206422891,48,BC,Full-time,276
APP00011,2736.6638492145767,52780.662238465644,636.1428458467079,4959.708699943364,78,ON,Full-time,529
APP00012,9800.054631968169,52744.06530270409,283.4548083344415,1176.4004003371035,71,ON,Full-time,436
APP00013,5962.585752327021,65219.5237063878,368.1159779643615,7186.938353985606,54,BC,Part-time,260
APP00014,7097.370848010202,34164.466495756955,387.9586051707548,2361.3673269241212,48,BC,Full-time,245
APP00015,73.57829625414536,36150.64664358652,268.9490376437593,1880.4545650058467,82,ON,Part-time,338
APP00016,5182.057321825208,51238.127221820585,215.35981892994263,9310.48975566466,32,BC,Unemployed,0
APP00017,375.2865753180312,44760.2670588319,288.65591099430515,1104.5682265991618,41,BC,Full-time,50
APP00018,5692.30212091448,66649.28945759883,609.6349373711971,11549.092879695987,66,BC,Unemployed,0
APP00019,9207.708496360754,46189.98332029579,500.10894413599095,6667.809005238346,46,ON,Full-time,272
APP00020,9684.191305004078,39705.07747407286,209.5728676073645,11813.180737767632,25,ON,Full-time,235
APP00021,5405.526753889241,94147.69914912025,479.0088724600016,1637.9732971997926,60,ON,Part-time,584
APP00022,4582.048052522159,56680.90014334145,671.7124307642733,7418.825037525045,28,ON,Part-time,556
APP00023,9450.17094248494,61894.33441016867,645.3249622895637,4842.597395735023,86,ON,Part-time,306
APP00024,6736.098319966951,39557.12106126015,359.2378633172517,10278.307420957144,62,ON,Full-time,477
APP00025,648.9927953840946,51514.09031667596,544.841691071519,4973.450087577149,31,BC,Unemployed,0
APP00026,4657.255776674976,62705.36203620314,485.3679083719917,3865.36336963084,51,ON,Part-time,488
APP00027,2402.450184643039,42942.93377436136,450.34818178883546,10433.084398099047,50,ON,Full-time,80
APP00028,4698.0432144868155,67889.37834621678,493.2180259833373,5121.184008185871,66,BC,Unemployed,0
APP00029,4554.655720063617,50651.993031505364,314.0822758389688,1185.166518466176,23,ON,Unemployed,0
APP00030,5821.44802814742,55571.03215333299,569.1462029295778,5293.180109232671,79,ON,Full-time,286
APP00031,3567.704903492512,50635.76791268887,388.06927284505025,8199.74495912036,21,ON,Part-time,561
APP00032,1642.7044945592806,105726.29598311339,1305.1709516216558,3797.9549268702003,42,BC,Part-time,98
APP00033,5037.194345899563,60407.9681085464,427.6306150129207,5751.86351667673,52,BC,Part-time,478
APP00034,8302.028843457621,44161.656266541606,523.2153137517482,1623.8665211044806,60,ON,Full-time,406
APP00035,6640.122280676023,77628.42484128992,926.9885458485231,7469.0207066535295,38,BC,Part-time,537
APP00036,3383.6786592521585,42052.42654750847,259.9726380457744,9319.24416246433,59,ON,Unemployed,0
APP00037,9355.230227588572,64575.12433977383,698.606618513117,5546.438175412213,100,BC,Full-time,568
APP00038,9122.075712491822,33692.29407756054,261.978505196708,5622.558960816061,38,ON,Part-time,255
APP00039,2093.4839938409878,40719.79636289595,481.0109852682449,1971.1074844340808,24,ON,Full-time,487
APP00040,394.17585120362975,64343.02629907787,509.4489255130117,3221.3495096318084,75,ON,Full-time,194
APP00041,7413.087083507622,75694.85254044553,784.8948866615012,2701.4283344070395,60,ON,Full-time,516
APP00042,8276.102613491532,63852.815072333,514.5299263192412,6298.565455276917,43,BC,Part-time,464
APP00043,9678.645659513553,58584.82483998755,355.3173315987354,6821.810950458252,59,ON,Full-time,504
APP00044,8898.363940883108,55414.377254366744,322.95043231859063,11438.34144412686,59,ON,Full-time,36
APP00045,6005.347682064148,38924.099720228645,300.17980074536905,1805.546547049573,21,BC,Full-time,16
APP00046,5300.523392123808,48872.60054879858,511.327407195055,7598.547704705518,61,ON,Full-time,590
APP00047,278.4105126258629,52824.682585989816,486.4587536625196,6791.483800610655,64,ON,Full-time,73
APP00048,2466.5644684477784,83288.19761611581,824.9899265794987,6678.564077294121,75,BC,Part-time,320
APP00049,4596.147517329265,67239.15038212456,438.35799287303166,10604.75216121109,92,BC,Part-time,245
APP00050,6285.039000835678,35739.55788635371,292.30054465471187,3260.923177650351,69,ON,Full-time,195
APP00051,5572.518333184106,66846.26140188069,303.25656823404785,1448.506017755086,23,ON,Full-time,89
APP00052,7426.359896816905,54035.730401870926,593.2818868703222,8394.986583976117,91,ON,Part-time,139
APP00053,2797.6693088704087,49505.985719800476,614.6548342324156,4796.732105495782,33,ON,Full-time,563
APP00054,5649.526076524732,72869.71150519224,550.7001305296578,1193.4890783377705,57,ON,Part-time,397
APP00055,881.4224339079213,82638.03467273265,351.87526736658856,3765.114080194552,88,ON,Full-time,484
APP00056,4136.65523583207,80202.46272721974,447.6584934045915,4402.594516384931,97,BC,Full-time,387
APP00057,7501.60832954601,47153.343993833965,452.8791360725411,7785.222144626662,56,ON,Full-time,368
